Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	V2	V6	V7	link	new_col_name	value_to_detect	date_col
130892	Date F31 first reported (bipolar affective disorder)			p130892_Date_F31_first_reported_bipolar_affective_disorder		NA				
130894	Date F32 first reported (depressive episode)			p130894_Date_F32_first_reported_depressive_episode		NA				
130896	Date F33 first reported (recurrent depressive disorder)			p130896_Date_F33_first_reported_recurrent_depressive_disorder		NA				
130898	Date F34 first reported (persistent mood [affective] disorders)			p130898_Date_F34_first_reported_persistent_mood_.affective._disorders		NA				
130900	Date F38 first reported (other mood [affective] disorders)			p130900_Date_F38_first_reported_other_mood_.affective._disorders		NA				
130902	Date F39 first reported (unspecified mood [affective] disorder)			p130902_Date_F39_first_reported_unspecified_mood_.affective._disorder		NA				
130906	Date F41 first reported (other anxiety disorders)			p130906_Date_F41_first_reported_other_anxiety_disorders		NA				
130908	Date F42 first reported (obsessive-compulsive disorder)			p130908_Date_F42_first_reported_obsessivecompulsive_disorder		NA				
130916	Date F48 first reported (other neurotic disorders)			p130916_Date_F48_first_reported_other_neurotic_disorders		NA				
130926	Date F54 first reported (psychological and behavioural factors associated with disorders or diseases classified elsewhere)			p130926_Date_F54_first_reported_psychological_and_behavioural_factors_associated_with_disorders_or_diseases_classified_elsewhere		NA				
130930	Date F59 first reported (unspecified behavioural syndromes associated with physiological disturbances and physical factors)			p130930_Date_F59_first_reported_unspecified_behavioural_syndromes_associated_with_physiological_disturbances_and_physical_factors		NA				
130932	Date F60 first reported (specific personality disorders)			p130932_Date_F60_first_reported_specific_personality_disorders		NA				
130934	Date F61 first reported (mixed and other personality disorders)			p130934_Date_F61_first_reported_mixed_and_other_personality_disorders		NA				
130936	Date F62 first reported (enduring personality changes	not attributable to brain damage and disease)		p130936_Date_F62_first_reported_enduring_personality_changes._not_attributable_to_brain_damage_and_disease		NA				
130946	Date F68 first reported (other disorders of adult personality and behaviour)			p130946_Date_F68_first_reported_other_disorders_of_adult_personality_and_behaviour		NA				
130948	Date F69 first reported (unspecified disorder of adult personality and behaviour)			p130948_Date_F69_first_reported_unspecified_disorder_of_adult_personality_and_behaviour		NA				
130990	Date F99 first reported (mental disorder	not otherwise specified)		p130990_Date_F99_first_reported_mental_disorder._not_otherwise_specified		NA				
131012	Date G10 first reported (huntingtons disease)			p131012_Date_G10_first_reported_huntingtons_disease	NA	NA				
131014	Date G11 first reported (hereditary ataxia)			p131014_Date_G11_first_reported_hereditary_ataxia	NA	NA				
131022	Date G20 first reported (parkinsons disease)			p131022_Date_G20_first_reported_parkinsons_disease		NA				
131024	Date G21 first reported (secondary parkinsonism)			p131024_Date_G21_first_reported_secondary_parkinsonism		NA				
131026	Date G22 first reported (parkinsonism in diseases classified elsewhere)			p131026_Date_G22_first_reported_parkinsonism_in_diseases_classified_elsewhere		NA				
131028	Date G23 first reported (other degenerative diseases of basal ganglia)			p131028_Date_G23_first_reported_other_degenerative_diseases_of_basal_ganglia		NA				
